,S&P 500,NASDAQ 100,Euro Stoxx 50,Nikkei 225,FTSE China A50,DAX,Hang Seng,FTSE 100,EURO BUND 10Y,EURO BOBL 5Y,EURO SCHATZ 2Y,US T-Note 10Y,US T-Note 5Y,US T-Note 2Y
2006-09-15,1335.7,1653.75,3827.0,15850.0,5405.0,5978.5,17318.0,5907.5,117.24,109.52,103.82,107.0,104.8438,101.9688
2006-09-18,1330.0,1653.25,3830.0,15850.0,5413.0,5976.0,17445.0,5937.0,117.09,109.41,103.77,106.8438,104.7656,101.9141
2006-09-19,1334.0,1642.75,3790.0,15810.0,5432.0,5921.5,17376.0,5839.5,117.5,109.63,103.88,107.4063,105.1094,102.0859
2006-09-20,1334.8,1663.5,3861.0,15680.0,5433.0,6004.5,17615.0,5905.5,117.39,109.57,103.85,107.3906,105.0625,102.0469
2006-09-21,1338.2,1655.0,3845.0,15770.0,5479.0,5969.0,17670.0,5910.0,118.02,109.94,103.98,108.0625,105.5469,102.2734
2006-09-22,1327.5,1642.0,3835.0,15560.0,5430.0,5939.5,17671.0,5860.5,118.24,110.14,104.09,108.375,105.7344,102.3125
2006-09-25,1335.4,1665.5,3868.0,15580.0,5408.0,5989.0,17636.0,5840.5,118.59,110.34,104.19,108.6563,105.9063,102.375
2006-09-26,1336.8,1673.5,3898.0,15580.0,5334.0,6020.5,17391.0,5902.5,118.47,110.19,104.11,108.375,105.6563,102.2813
2006-09-27,1344.2,1677.25,3910.0,15940.0,5370.0,6033.5,17624.0,5948.0,118.38,110.12,104.08,108.3125,105.6406,102.3047
2006-09-28,1347.8,1673.25,3913.0,16050.0,5448.0,6041.5,17572.0,5997.5,118.42,110.08,104.05,108.25,105.625,102.2969
2006-09-29,1349.4,1670.25,3915.0,16100.0,5495.0,6046.5,17559.0,5997.5,118.11,109.96,104.0,108.0781,105.5313,102.2578
2006-10-02,1344.6,1647.75,3895.0,16290.0,5495.0,6029.0,17559.0,5980.0,118.27,110.02,104.03,108.2656,105.6719,102.3359
2006-10-03,1338.6,1654.5,3906.0,16240.0,5495.0,6056.0,17634.0,5990.0,117.95,109.94,104.0,108.2031,105.6094,102.3047
2006-10-04,1341.3,1692.25,3957.0,16120.0,5495.0,6129.5,17672.0,5991.0,118.35,110.11,104.06,108.5781,105.9063,102.4453
2006-10-05,1358.0,1701.75,3962.0,16460.0,5495.0,6126.5,17970.0,6029.0,118.1,109.99,104.02,108.25,105.6563,102.3281
2006-10-06,1357.7,1699.75,3956.0,16480.0,5495.0,6129.0,17923.0,6019.5,117.68,109.83,103.99,107.6094,105.2344,102.1563
2006-10-09,1356.1,1704.25,3957.0,16480.0,5675.0,6128.5,17684.0,6057.5,117.71,109.8,103.96,107.6094,105.2344,102.1563
2006-10-10,1359.9,1704.5,3975.0,16510.0,5655.0,6160.0,17868.0,6088.5,117.21,109.47,103.86,107.2031,104.9531,101.9922
2006-10-11,1356.8,1706.25,3980.0,16440.0,5646.0,6154.0,17847.0,6108.0,117.09,109.41,103.84,107.0313,104.8281,101.9375
2006-10-12,1362.6,1733.25,4017.0,16380.0,5623.0,6210.0,17950.0,6128.0,117.28,109.52,103.89,107.0781,104.8594,101.9531
2006-10-13,1370.1,1739.5,4018.0,16570.0,5648.0,6219.0,17992.0,6180.0,117.04,109.46,103.88,106.9063,104.7656,101.9141
