,Consumer Staples,Industrials,Health Care,Materials,IT,Financials,Consumer Discretionary,Energy,Real Estate,Utilities,Communication Services
2006-09-15,841.73,775.86,630.56,1309.55,435.338,863.08,722.01,1199.69,,886.64,517.15
2006-09-18,838.79,775.63,629.83,1316.75,435.101,861.05,718.51,1219.44,,885.66,515.36
2006-09-19,838.88,773.55,627.88,1307.53,432.569,859.03,718.19,1208.05,,883.46,514.12
2006-09-20,843.17,774.23,631.49,1305.79,437.119,863.02,721.57,1187.84,,885.87,519.69
2006-09-21,838.53,771.59,628.79,1309.42,434.225,862.68,722.41,1193.56,,882.16,521.82
2006-09-22,831.29,762.79,621.66,1292.08,428.174,854.23,714.83,1176.47,,872.38,518.05
2006-09-25,831.53,768.45,625.68,1289.84,434.68,860.32,723.27,1173.48,,879.75,523.31
2006-09-26,839.2,778.46,629.99,1313.35,439.314,866.99,730.11,1201.38,,889.13,527.62
2006-09-27,840.37,783.31,631.24,1327.58,439.271,869.18,732.32,1217.94,,903.45,525.72
2006-09-28,839.63,787.59,631.05,1336.11,441.841,872.03,733.13,1229.89,,901.57,526.56
2006-09-29,836.95,786.88,631.98,1334.57,440.818,872.68,732.36,1227.95,,896.09,530.15
2006-10-02,831.7,786.76,628.13,1337.82,437.384,869.39,730.66,1215.34,,899.45,525.47
2006-10-03,832.42,787.75,630.12,1319.75,437.532,871.51,733.13,1181.19,,900.67,528.12
2006-10-04,841.7,792.71,634.99,1313.16,443.806,881.13,741.45,1191.57,,906.27,536.19
2006-10-05,842.55,800.95,636.21,1336.75,446.168,887.29,747.71,1209.4,,906.84,536.21
2006-10-06,843.71,802.54,637.48,1342.18,447.892,891.49,749.78,1215.64,,907.79,538.39
2006-10-09,842.79,801.33,636.62,1351.07,448.144,891.56,750.38,1213.84,,905.95,536.82
2006-10-10,843.92,807.45,638.45,1363.4,450.857,898.35,755.33,1228.33,,911.09,541.2
2006-10-11,843.79,804.96,638.35,1353.87,450.95,895.02,754.92,1216.81,,911.2,543.31
2006-10-12,845.25,812.79,641.22,1370.43,455.853,900.34,762.37,1232.14,,915.41,548.37
2006-10-13,846.94,817.1,640.94,1389.92,461.233,905.36,764.56,1254.87,,917.17,552.01
2006-10-16,847.99,821.8,641.3,1404.79,462.426,905.04,765.77,1275.11,,921.45,551.08
2006-10-17,843.88,815.93,641.12,1392.55,457.768,896.69,759.22,1268.04,,921.2,546.29
2006-10-18,850.25,819.25,648.05,1402.88,456.807,902.85,763.28,1267.33,,926.95,548.44
2006-10-19,845.8,814.87,646.96,1405.59,453.347,896.13,760.33,1276.57,,924.43,549.43
2006-10-20,847.71,815.51,649.9,1405.14,454.459,897.04,761.25,1271.06,,929.5,553.14
2006-10-23,855.7,821.01,653.78,1412.74,458.889,904.7,768.6,1273.46,,933.3,556.71
2006-10-24,853.98,822.52,651.53,1417.69,457.123,904.49,771.15,1287.62,,932.47,556.68
2006-10-25,856.75,821.71,649.72,1426.26,457.509,902.92,770.4,1302.86,,933.67,557.88
2006-10-26,856.0,820.16,644.33,1423.64,457.447,904.08,774.21,1299.18,,929.01,563.38
2006-10-27,850.69,813.16,638.34,1418.28,450.334,897.46,769.1,1288.31,,925.48,564.45
2006-10-30,848.38,810.89,635.74,1413.58,450.827,896.4,767.28,1272.46,,926.59,560.37
2006-10-31,846.73,809.35,632.15,1415.17,450.644,894.16,765.8,1274.52,,924.58,560.9
2006-11-01,845.39,808.05,630.1,1422.23,448.027,893.51,763.08,1267.84,,927.58,559.56
2006-11-02,846.67,805.83,633.11,1418.96,447.567,890.67,762.16,1264.42,,923.89,561.38
2006-11-03,847.46,808.46,633.22,1425.92,448.336,893.8,762.16,1289.06,,924.11,562.52
